Id,PostTypeId,AcceptedAnswerId,positionOfAnswer,answerCreationDate,delayBetweenQuestionCreationAndAnswerCreation,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,Category
31188849,1,31191045,71,"42042,73022",1,,"42187,64838",,3,3785,510981,,130659,,"42188,41968","43363,15436",Android Studio not recognising Gradle projects,<android><android-studio><gradle>,5,Import
30444150,1,31858505,86,"42163,60517",1747,,"42149,77196",,1,705,2080970,,,,,"42222,60517",Use of cardstream in google place picker sample code,<google-places-api>,1,Import
40849143,1,40849410,375,11/28/2016 16:45:53,0,,"42702,68744",,1,212,4342778,,4342778,,"42702,69861","42702,69861",Cannot clone project from github,<git><android-studio><github>,1,Import
30582324,1,30582361,866,"42010,84052",0,,"42156,83895",,1,665,3512832,,1064310,,"42156,87113","42156,87113",Google example universal music player IMPORT error,<java><android><android-studio><wear-os>,1,Import
31064433,1,31064496,870,6/26/2015 3:39:38,0,,"42181,14753",,1,535,1334828,,1334828,,"42181,15095","42181,15252",How to keep forked version of github sycned,<github><android-studio><version-control><fork>,1,Import
31371440,1,31385161,873,7/13/2015 13:47:47,18,,"42197,79172",,5,2657,4108002,,4108002,,"42199,55811","42210,13348",Android Studio: New gradle IMPORT NDK sample app error,<android><android-ndk>,2,Import
31506508,1,31506657,876,7/19/2015 22:36:10,0,,"42204,929",,1,299,666818,,,,,"42204,94178",UNEXPECTED TOP-LEVEL EXCEPTION when IMPORTing NDK Samples,<android><android-ndk>,1,Import
32153945,1,32169591,885,8/23/2015 17:44:25,33,,"42238,34502",,1,614,1570557,,4601170,,"42241,55817","42241,55817",I failed to use gradle command line to IMPORT the android example code,<android-studio><command-line><gradle>,2,Import
33220233,1,33220286,892,10/19/2015 17:19:04,0,,"42296,7195",,17,12352,248959,,,,,"43217,58648",Cannot resolve symbol FragmentCompat,<android>,2,Import
34387574,1,34859599,908,1/18/2016 16:31:25,687,,"42359,03248",,1,2116,6998684,,,,,"42398,73951",Android Studio Instant Run not working,<android-studio><instant-run>,2,Import
34298780,1,35621793,917,2/25/2016 8:17:26,1715,,"42353,85323",,5,2062,5665386,,3290339,,"42355,88065","42432,78288",Hello-jni sample doesn't work in Android Studio 2.0 Preview,<android><android-studio><android-ndk><java-native-interface>,2,Import
35757052,1,35757934,922,"42403,87542",0,,"42431,83757",,2,3762,6009679,,6009679,,"42431,86075","42432,86634",Gradle error when using Google's latest API,<java><android><android-studio><android-gradle><google-vision>,1,Import
36204550,1,36206257,929,3/24/2016 17:20:56,1,,"42453,66336",,1,3726,5939975,,,,,"42565,58522",cannot resolve method newinstance(),<android><android-fragments><fragment><android-fragmentactivity><android-camera2>,2,Import
36004651,1,36487904,933,"42555,91238",566,,"42444,29638",,10,802,1356874,,1356874,,"42471,47802","42471,48267",How can Android project compile when imported class is missing in SDK?,<android><android-studio><android-sdk-tools><android-IMPORT><android-studio-import>,1,Import
38274943,1,38798556,944,"42498,9372",673,,"42559,85527",,2,7468,3254749,,3254749,,"42559,922","42587,9372",Android NDK linker Error:error: undefined reference to std::basic_string,<c++11><android-ndk><android-gradle><IMPORT.gradle><ndk-IMPORT>,1,Import
39954501,1,39954735,950,"42653,3764",0,,"42653,36675",,1,281,1551603,,,,,"42653,3764",What is minimal dependency import for location.places?,<android><google-play-services>,1,Import
40766673,1,41383912,956,12/29/2016 16:51:38,866,,"42697,58912",,3,7855,2715054,,,,,"43057,64094",Android - Failed to find CMake,<android><c++><android-ndk>,3,Import
41393423,1,41435642,957,"42795,10689",89,,"42734,37573",,1,896,7011251,,7011251,,"42736,46947","42738,10689",Android Studio 2.2.3 cannot find <vector>,<android><android-ndk><cmake><ndk-IMPORT>,2,Import
44753069,1,44753178,998,6/26/2017 4:35:04,0,,"42912,181",,1,1518,1025935,,,,,"42914,45222",Cannot import android.arch.persistence.room.testing.MigrationTestHelper,<android><database-migration><android-room><android-architecture-components>,2,Import
45586828,1,45586963,1010,"42986,40124",0,,"42956,39767",,1,1842,7785152,,3395198,,"42956,41492","42956,46519",Cannot resolve symbol assertThat,<android><android-testing>,1,Import
46367880,1,46367938,1019,9/22/2017 15:11:11,0,,"43000,63071",,4,11434,2611161,,,,,"43000,63345",How to pull a specific branch from Github,<git><github><branch>,1,Import
47002893,1,47003431,1022,10/29/2017 17:57:51,0,,"43037,70995",,1,56,8852373,,,,,"43037,74851",Empty Android folder when cloning Google samples,<android><android-studio>,1,Import
54448798,1,54448919,1093,1/30/2019 20:20:17,0,,"43495,8406",,1,21,10966474,,,,,"43495,84742",Where are the dependency Versions defined in IMPORT gradle (app) of Android Studio?,<android><android-studio>,1,Import
32105785,1,,,,,,"42235,88558",,6,8484,832442,,5231007,,"42237,85086","42241,8414",Trying to import code from GitHub into Android Studio,<android><android-studio><google-vision><android-vision>,2,Import
37075088,1,,,,,,"42496,607",,1,122,3067928,,6083675,,"42502,72869","42502,72869",Camera2Basic : Application:transformClassesWithDexForDebug,<java><android><android-camera2>,1,Import
46831355,1,,,,,,"43027,57134",,1,452,5815054,,,,,"43027,57134",Gradle: DSL method not found: minSdkVersion / targetSdkVersion / compileSdkVersion / IMPORTToolsVersion,<android><gradle><dsl><android-gradle-2.2>,1,Import
48005850,1,,,,,,"43097,44095",,8,293,1646919,,6248491,,"43116,24434","43122,2858",android-RuntimePermissions sample code not working,<java><android><android-studio><intellij-idea>,5,Import
49696008,1,,,,,,"43196,63683",,1,729,4293275,,,,,"43390,26523",How to switch android-ndk example to use gcc instead of clang?,<gcc><gradle><android-ndk><clang>,1,Import
50758822,1,,,,,,"43259,44457",,3,3869,2260963,,6176003,,"43259,54346","43438,57169",Failed to resolve: play-services-auth-base-license version 11.8.0,<android><android-gradle><resolve><play-services-auth-base-license>,4,Import
53635269,1,,,,,,"43439,63135",,2,380,7130705,,7130705,,"43439,63898","43570,29626",Gradle cannot resolve androidx.appcompat:appcompat:1.1.0-alpha01 and com.google.android.gms:play-services-nearby:16.0.0,<android><android-studio><gradle><android-gradle><google-play-services>,2,Import
28734594,1,28737314,33,2/26/2015 8:11:36,3,,"42061,1942",,6,8693,3558874,,,,,"42061,34139",Camera2 video recording,<android><android-camera>,1,Modify
32021193,1,32029162,93,8/15/2015 20:43:58,17,,"42231,14093",,27,25619,3576831,,3576831,,"42232,19139","42278,13748",How to capture barcode values using the new Barcode API in Google Play Services?,<android><google-play-services><google-vision>,1,Modify
32051973,1,32051974,95,8/17/2015 13:41:50,0,,"42233,57072",,12,16099,932052,,379726,,"42275,39678","43259,41498",Google Vision API Samples: Get the CameraSource to Focus,<android><camera><google-play-services><google-vision><android-vision>,3,Modify
32258675,1,32300841,111,8/30/2015 20:30:01,72,,"42243,84564",,5,2913,5274454,,-1,,"42878,49981","42360,75384",New vision API - Picture size,<android><camera><google-play-services><google-vision><android-vision>,1,Modify
34638651,1,34650699,203,"42552,36506",15,,"42375,71186",,10,3202,1832221,,2370483,,"43481,95369","43481,95369",How to get an Android Camera2 with 1:1 ratio like Instagram?,<android><android-camera2>,3,Modify
39044494,1,39054918,326,8/20/2016 13:56:07,20,,"42601,71637",,8,7231,5175297,,,,,"43193,5162",Get full screen preview with Android camera2,<android><camera><camera2><android-camera2>,2,Modify
39022845,1,39064930,327,8/21/2016 13:50:03,69,,"42600,6695",,6,8702,5175297,,,,,"43139,36086",Android Camera2 API switch back - front cameras,<android><camera><camera2><android-camera2>,2,Modify
41032145,1,41032503,378,"42594,23632",0,,"42712,21341",,1,1240,2518783,,,,,"42712,61934",JSON with Android Universal Media Player Application (MediaPlayer Error 1),<android><json>,2,Modify
28004653,1,28005607,851,1/17/2015 23:44:49,2,,"42021,90456",,2,6708,4465348,,-1,,"42878,52247","42021,98946",Problems with OnClick to remove item from within Adapter,<android><adapter><android-recyclerview>,2,Modify
28003186,1,28019789,852,1/19/2015 7:29:36,36,,"42021,79684",,16,31689,2639515,,3192021,,"42726,49438","43179,69241",Capture picture without preview using camera2 API,<android><camera>,3,Modify
27139281,1,28645831,855,2/21/2015 12:31:56,2100,,"41969,01557",,7,3866,786718,,660921,,"42011,55385","42430,29773",Installing app to managed profile,<android><android-5.0-lollipop><android-managed-profile>,1,Modify
29190072,1,29196883,859,3/22/2015 16:29:22,14,,"42085,07443",,6,4110,2650407,,2650407,,"42163,97304","42163,97304",Android ActivityRecognition java.lang.NullPointerException: Appropriate Api was not requested,<android><activity-recognition>,1,Modify
29724923,1,29724962,860,4/19/2015 1:58:59,0,,"42113,07785",,5,3486,3205503,,4099598,,"42113,09523","42194,37131",Limiting result in country with Google Place autocomplete?,<android><google-places-api>,2,Modify
29744045,1,29750984,861,4/20/2015 14:40:56,5,,"42114,3963",,1,1712,1596679,,,,,"42116,86299",Google Places API Android resultCallback not firing,<android><google-play-services><google-places-api>,2,Modify
29861580,1,29875013,862,4/26/2015 7:38:18,25,,"42119,24862",,12,4281,1481408,,,,,"42452,49459",LocationServices.SettingsApi Reset SETTINGS_CHANGE_UNAVAILABLE flag,<android><google-play-services>,1,Modify
30195940,1,30197939,865,"42343,7375",1,,"42136,66468",,13,9302,1520263,,,,,"42442,76441",Android Camera2 getPreviewFrame,<android><android-camera><android-5.0-lollipop>,1,Modify
30838231,1,30838770,867,6/15/2015 6:41:30,0,,"42170,24691",,1,565,4575744,,3024519,,"42170,25619","42330,79774",OnDataPointListener does not get callback if GoogleApiClient is disconnected,<android><google-fit>,2,Modify
30163964,1,30875643,868,6/16/2015 18:41:09,873,,"42135,39359",,3,1164,3916830,,,,,"42198,61623",Device owner issue using adb method with LG devices only,<android><adb><android-5.0-lollipop><device-owner>,1,Modify
30952459,1,30956693,869,6/20/2015 17:02:55,7,,"42175,39929",,2,3526,4772917,,-1,,"42878,51593","42446,41184",Android: How to change OpenGLES texture data / bitmap from gallery / camera,<java><android><opengl-es><effects>,1,Modify
31323889,1,31327836,872,"42254,86352",3,,"42194,70866",,1,107,3246849,,-1,,"42878,51512","42194,86352",Android RecyclerView requires 2 clicks to set strings,<android><android-recyclerview><recycler-adapter>,1,Modify
31345049,1,31388760,874,7/13/2015 16:35:25,72,,"42195,65735",,2,1698,1014690,,1014690,,"42198,31969","42390,09848",Xamarin Android Google Places Api AutoComplete broken,<xamarin><xamarin.android><google-places-api>,2,Modify
31290783,1,31409016,875,7/14/2015 14:06:31,147,,"42193,46082",,7,548,199252,,-1,,"42878,49426","42201,30582",Custom sync not working with Google Account (com.google) on some Samsung devices,<android><sync><samsung-mobile><android-syncadapter>,1,Modify
31797821,1,31839641,879,"42132,75039",43,,"42219,93909",,1,718,1580268,,,,,"42221,75039",Unable to focus on nearby objects,<android><android-camera>,2,Modify
31884355,1,31918816,881,"42285,49421",65,,"42223,76793",,3,4220,804967,,804967,,"42226,31626","42226,49421",Espresso won't find View when included with androidTestCompile,<android><android-gradle><android-espresso>,1,Modify
31984622,1,31993813,882,8/13/2015 16:34:57,6,,"42229,40226",,3,7190,5084931,,5084931,,"42229,40756","42230,66054",How to save a YUV_420_888 image?,<android><android-camera>,2,Modify
31756883,1,32000958,883,8/14/2015 1:24:58,313,,"42217,00208",,2,687,4576720,,,,,"42230,059",Android universal music player add album cover in the MediaItemViewHolder,<java><android><android-imageview><android-bitmap>,1,Modify
32108318,1,32110832,884,8/20/2015 6:17:46,4,,"42236,07696",,5,1934,969986,,,,,"42237,30082",Android Camera2 Basics API,<android><android-camera>,1,Modify
32142463,1,32273525,886,8/28/2015 14:34:59,168,,"42237,58928",,10,4336,2765160,,2765160,,"42240,41716","42804,47963",How to stub select images intent using Espresso intents?,<java><android><android-intent><android-testing><android-espresso>,2,Modify
32295158,1,32299031,887,8/30/2015 17:00:02,7,,"42246,40167",,4,2634,3850054,,2016562,,"42282,86841","42346,68333",lintOptions for experimental Gradle IMPORT tool in Android Studio 1.3,<android><android-studio><android-gradle><IMPORT.gradle><gradle-experimental>,2,Modify
32310523,1,32312074,888,8/31/2015 13:08:49,1,,"42247,49118",,3,4462,3535408,,2016562,,"42282,86971","42601,46788",Issue when migrating to Gradle Experimental 2.5 : no such method AndroidConfig,<android><android-studio><gradle><android-ndk><gradle-experimental>,1,Modify
31987928,1,32661407,890,9/18/2015 21:36:25,873,,"42229,50926",,1,262,2068766,,,,,"42265,90029",Android layout xml rotation orientation,<java><android><xml><cordova><layout>,1,Modify
33379534,1,33386364,894,10/28/2015 8:42:54,10,,"42304,93311",,27,8839,1009132,,1009132,,"43109,7276","43362,20065","Call requires API level 23' error, but getForeground() exists on FrameLayout from API 1",<java><android><android-studio><android-framelayout><android-api-levels>,1,Modify
33391042,1,33391235,895,10/28/2015 12:34:38,0,,"42305,51836",,1,940,1281081,,,,,"42305,52405",How to cancel FragmentTransaction commit,<android><fragment><fragmenttransaction>,1,Modify
33654287,1,33702425,898,11/13/2015 21:56:58,54,,"42319,6564",,2,1241,3361863,,294248,,"42319,70274","43032,31718",Recording 4K with MediaRecorder,<android><android-camera><android-mediarecorder>,2,Modify
34476043,1,34503320,905,12/29/2015 1:47:35,50,,"42364,95697",,14,1132,1406716,,,,,"42367,08924",Why is `hasEnrolledFingerprints` giving error that it requires a permission only in my Fragment but not in the Activity in Google's Example?,<android><android-fragments><android-6.0-marshmallow><android-fingerprint-api>,1,Modify
34545676,1,34579698,906,"42430,74862",78,,"42369,47171",,3,1065,1887795,,,,,"42432,95091",Updating MediaBrowserService to MediaBrowserServiceCompat removes 'browse' function,<android><android-mediaplayer><android-support-library><appcompat><android-wear-notification>,1,Modify
34627394,1,34646908,907,"42552,14553",20,,"42375,29215",,1,1750,2497859,,2497859,,"42375,31829","42376,17495",SIPdroid Android Studio ndk integration error,<android><android-studio><gradle><android-ndk><sipdroid>,1,Modify
35211950,1,35214915,910,"42492,06912",4,,"42404,89387",,1,2187,513413,,,,,"42405,06912",How to test Intent based on Espresso in Android?,<android><android-intent><android-espresso>,1,Modify
35354363,1,35404097,912,2/15/2016 7:55:01,76,,"42412,14763",,10,1899,2499724,,,,,"42415,32987",Set brightness/contrast in video capture using Android Camera2,<android><video><video-capture><android-camera2>,1,Modify
35287835,1,35469813,913,2/17/2016 23:26:01,206,,"42409,37929",,2,6762,4697260,,5350328,,"42409,40153","42815,67418",Detect and capture barcode automatically when it is read by camera,<android>,3,Modify
35048208,1,35603674,915,2/24/2016 13:34:05,664,,"42396,88774",,4,3256,1120115,,1120115,,"42397,00797","42719,24848",High speed Capture request Android Marshmallow,<android><android-camera>,1,Modify
35604954,1,35606877,916,2/24/2016 15:57:09,1,,"42424,60569",,1,424,3796083,,4848308,,"42424,67729","42424,67729","Capture photo and apply effects (scale, rotate, grey, draw with finger)",<android><android-camera2>,1,Modify
35664198,1,35708297,919,2/29/2016 19:47:26,67,,"42427,02321",,1,1337,3071350,,,,,"42429,82461",No runnable methods on Android JUnit4 Instrumentation Tests,<java><android><testing><junit4><android-instrumentation>,1,Modify
35709241,1,35728962,921,"42372,71135",20,,"42429,86321",,7,6500,1360853,,-1,,"42878,50699","42689,61686",Android ImageReader get NV21 format?,<android><image><imaging><android-mediaprojection>,1,Modify
35968315,1,36030703,926,3/16/2016 8:51:43,72,,"42442,36686",,8,6675,5904387,,1363438,,"43383,86203","43383,86203",android camera2 handle zoom,<android><zoom><capture><android-camera2>,4,Modify
34832098,1,36071166,928,3/17/2016 20:34:25,1463,,"42385,87677",,1,1123,3846287,,3846287,,"42446,85742","42551,5045",Nexus 5X records video rotated upside down using MediaRecorder and camera2,<android><video-capture><android-mediarecorder><android-camera2>,2,Modify
35620400,1,36716795,936,4/19/2016 11:16:49,1300,,"42425,28913",,5,4069,1601974,,,,,"43480,41802",Changing Flash setting of Android Camera 2 at runtime,<java><android><mobile><android-camera2>,3,Modify
37144657,1,37149446,938,"42648,9037",4,,"42500,70595",,3,2561,1679732,,1679732,,"42503,31804","42503,31804",Switch flash in Camera2 API,<android><android-camera><android-camera2><camera-flash>,1,Modify
37441252,1,37606353,940,"42435,21566",205,,"42515,63481",,5,636,4817630,,3919009,,"42522,77045","42524,21566",Camera 2 : Unable to record video in full screen?,<android><camera-api>,2,Modify
37816319,1,37858843,941,6/16/2016 12:10:59,44,,"42535,64662",,2,54,1548788,,3956566,,"42535,65378","42537,50763",Android ReceiveReceive Text via Bluetooth,<android><logging><arduino><android-bluetooth>,1,Modify
39034348,1,39045922,945,8/19/2016 18:48:53,10,,"42601,34895",,2,563,6733826,,,,,"42601,78395","Xamarin.Android PackageInstaller Session.commit ""Files still open"" Exception on apk silent install",<c#><android><xamarin><xamarin.android><android-install-apk>,1,Modify
39281557,1,39352506,948,"42530,63573",113,,"42614,91876",,2,1355,3561610,,,,,"42619,63573",Get Frame when detecting text using a pipeline in Android Mobile Vision,<android><android-vision>,1,Modify
39464909,1,39471016,949,9/13/2016 13:12:14,5,,"42626,3314",,1,1065,1079901,,,,,"42626,55016",Get File Uri from Document Id in Storage Access Framework,<android><android-5.0-lollipop><android-6.0-marshmallow><android-file><storage-access-framework>,1,Modify
40419605,1,40419946,951,"42471,42241",0,,"42678,41147",,1,903,1791546,,1791546,,"42681,46861","42681,46861","How to get access to ""/"" (root) directory using Storage Access framework",<android><android-7.0-nougat><android-7.1-nougat>,1,Modify
